PSLV-C 52 sens11=Cylinder(P+) HSCTYHFPP
ITI ITER IMA IKHS NCO IAXI IPA ICAR ITHN KEL ITAB ISHK INV,IGM,IT,CON,ITR,IAI,IFR,IRA
1 	0     1    0   6   1    1    0    0   1   1    2    2   3   0  1   1   0   0 0
RADIUS, ANGLE, LENGTH OF EACH COMPONENT
0.7       20.0      2.589     0.0       0.0       4.5000    0.0       -15.0 
0.7500    0.0       0.0       11.5176   0.0       3.644     1.5702    0.0 
0.0       23.0
RETR   RETS ALAMDA ALFA  DUM   QINS  RC   GIN
1.0e+116  0.0  0.0   0.0   0.00  0.00  0.7  1.4
NT
12501
    TIME          ALT                RV                Mach       dynp             alpha     qalpha         
              0.000      23.8      0.00     0.000       0.0      0.00      0.00
	      7.580     181.2     49.11     0.142    1386.6      4.72    114.18
	      7.600     182.1     49.28     0.142    1396.4      4.69    114.26
	      7.620     183.1     49.46     0.143    1406.3      4.66    114.32
	      7.640     184.1     49.64     0.143    1416.3      4.63    114.37
	      7.660     185.1     49.81     0.144    1426.3      4.60    114.40
	      7.680     186.1     49.99     0.144    1436.3      4.56    114.42
	      7.700     187.1     50.17     0.145    1446.4      4.53    114.43
	      7.720     188.1     50.35     0.145    1456.6      4.50    114.43
	      7.740     189.1     50.52     0.146    1466.8      4.47    114.42
	      7.760     190.1     50.70     0.146    1477.0      4.44    114.40
	      7.780     191.1     50.88     0.147    1487.3      4.41    114.37
	      7.800     192.1     51.06     0.147    1497.6      4.37    114.33
	      7.820     193.2     51.24     0.148    1508.0      4.34    114.27
	      7.840     194.2     51.42     0.148    1518.4      4.31    114.21
	      7.860     195.2     51.60     0.149    1528.9      4.28    114.14
	      7.880     196.2     51.78     0.149    1539.5      4.25    114.07
	      7.900     197.3     51.96     0.150    1550.1      4.21    113.98
	      7.920     198.3     52.14     0.150    1560.7      4.18    113.89
	      7.940     199.4     52.32     0.151    1571.4      4.15    113.80
	      7.960     200.4     52.50     0.151    1582.1      4.12    113.70
	      7.980     201.5     52.68     0.152    1592.9      4.09    113.59
	      8.000     202.5     52.86     0.152    1603.8      4.05    113.49
	      8.020     203.6     53.04     0.153    1614.7      4.02    113.37
	      8.040     204.6     53.23     0.153    1625.6      3.99    113.26
	      8.060     205.7     53.41     0.154    1636.6      3.96    113.14
	      8.080     206.8     53.59     0.154    1647.6      3.93    113.02
	      8.100     207.8     53.77     0.155    1658.7      3.90    112.90
	      8.120     208.9     53.96     0.156    1669.9      3.87    112.77
	      8.140     210.0     54.14     0.156    1681.1      3.84    112.65
	      8.160     211.1     54.32     0.157    1692.3      3.81    112.52
	      8.180     212.2     54.51     0.157    1703.6      3.78    112.40
	      8.200     213.2     54.69     0.158    1715.0      3.75    112.28
	      8.220     214.3     54.88     0.158    1726.4      3.72    112.16
	      8.240     215.4     55.06     0.159    1737.9      3.69    112.05
